check_item,official_behavior,local_aligned_behavior,existing_chunked_behavior,status,risk_level,evidence_file,evidence_line_or_function,required_fix
training_entrypoint,torchrun launches navsim/planning/script/run_training_recogdrive.py,same official script through scripts/run_a0_official_aligned_8gpu.sh,manual scripts/train_recogdrive_expert_chunked.py loop,aligned,low,scripts/run_a0_official_aligned_8gpu.sh,32-35,
gpu_count,8 GPUs per experiment with trainer devices 8,torchrun nproc_per_node 8 and trainer devices 8,torchrun/manual DDP depends on launch args,aligned,low,scripts/run_a0_official_aligned_8gpu.sh,32-50,
a0_expert_disabled,no expert features for A0,"agent.use_expert_features=False; agent.use_jepa=False; agent.use_vggt=False",config dependent,aligned,low,scripts/run_a0_official_aligned_8gpu.sh,45-47,
cache_hidden_state,agent.cache_hidden_state=True,same,local planner uses cached hidden state from chunk data,aligned,low,scripts/run_a0_official_aligned_8gpu.sh,40,
dataset_source,official cache-only Stage2 data,local chunk cache adapter with official train/val log filters,flat chunk dataset without Lightning val loop,aligned,low,navsim/planning/script/run_training_recogdrive.py,416-448,
train_count,navtrain train tokens,85109 train records and unique sample tokens in A0 complete overlay,depends on chunk selection,aligned,low,reports/official_aligned_local_loader_smoke_a0_complete.json,train_report,
val_count,navtrain val tokens,18179 val records and unique sample tokens in A0 complete overlay,not part of local chunk training loop,aligned,low,reports/official_aligned_local_loader_smoke_a0_complete.json,val_report,
train_val_overlap,no overlap,0 overlap enforced by runtime check,not applicable,aligned,low,navsim/planning/script/run_training_recogdrive.py,434-438,
collate_return,"features, targets, tokens_list","features, targets, tokens_list",planner-specific batches,aligned,low,navsim/planning/script/run_training_recogdrive.py,281-310,
feature_keys,"history_trajectory; high_command_one_hot; last_hidden_state; status_feature",same collated keys for A0,local vl/action planner inputs,aligned,low,reports/official_aligned_local_loader_smoke_a0_complete.json,feature_keys,
target_keys,trajectory,trajectory,trajectory,aligned,low,reports/official_aligned_local_loader_smoke_a0_complete.json,target_keys,
hidden_state_padding,"pad_sequence(batch_first=True, padding_value=0.0)",same,not equivalent local planner data path,aligned,low,navsim/planning/script/run_training_recogdrive.py,290-294,
forward_path,AgentLightningModule calls ReCogDriveAgent.forward,same,manual planner forward path,aligned,low,navsim/planning/training/agent_lightning_module.py,63-66,
cached_hidden_forward,use features['last_hidden_state'],same,scripts/train_recogdrive_expert_chunked.py planner input path differs,aligned,low,navsim/agents/recogdrive/recogdrive_agent.py,294-295,
history_shape,history trajectory flattened to Bx12,same,planner-specific,aligned,low,navsim/agents/recogdrive/recogdrive_agent.py,351-356,
target_action,targets['trajectory'] passed as action,same,planner-specific,aligned,low,navsim/agents/recogdrive/recogdrive_agent.py,362-366,
optimizer_api,agent.get_optimizers(),same via AgentLightningModule.configure_optimizers(),manual optimizer_for,aligned,low,navsim/planning/training/agent_lightning_module.py,102-104,
optimizer,AdamW lr 1e-4 weight_decay 1e-4 betas 0.9/0.95,same,AdamW groups; A0 local-fixed uses lr_action_head 1e-4,aligned,low,navsim/agents/recogdrive/recogdrive_agent.py,603-610,
scheduler,WarmupCosLR min_lr 1e-6 epochs 200 warmup 3,same,manual official-cosine approximation,aligned,low,navsim/agents/recogdrive/recogdrive_agent.py,612-617,
trainer_framework,PyTorch Lightning Trainer,same,manual DDP loop,aligned,low,navsim/planning/script/run_training_recogdrive.py,483-489,
dataloader_params,batch 16 workers 8 pin_memory true prefetch 2,same via default plus launcher override,manual DataLoader same requested params,aligned,low,navsim/planning/script/config/training/default_training.yaml,40-45,
gradient_accumulation,1,1,configurable; A0 local-fixed 1,aligned,low,scripts/run_a0_official_aligned_8gpu.sh,48-54,
gradient_clip,norm 1.0,same from default config,manual chunked does not use Lightning clipping,aligned,low,navsim/planning/script/config/training/default_training.yaml,67-68,
precision,Lightning 16-mixed with fp32 parameters before Trainer,same default and no true bf16 weight conversion,chunked uses bf16 autocast-style unless true_bf16_weights is passed,aligned,low,navsim/planning/script/config/training/default_training.yaml,59,
model_dtype_conversion,no model.to(torch.bfloat16) in official Lightning path,none found in run_training_recogdrive.py,explicit only behind --true-bf16-weights,aligned,low,navsim/planning/script/run_training_recogdrive.py,no bf16 conversion,
checkpoint_selection,ModelCheckpoint val/loss_epoch mode min top5,same monitor/mode/top-k,chunked best is train-loss oriented,aligned,low,navsim/planning/script/run_training_recogdrive.py,478-480,
save_last,official EMA helper uses save_last True; plain run_training_recogdrive.py does not,current latest.ckpt comes from StepCheckpointCallback at train end,local chunked saves latest/steps,partially_aligned,medium,navsim/planning/script/run_training_recogdrive.py,78-99;478-480,add save_last=True to ModelCheckpoint
